,title,originallink,link,description,pubDate
52,"'고우림♥' 김연아 ""서른 넘고 새로운 인생 시작되는 느낌"" [화보]",https://www.tvreport.co.kr/2112529,https://n.news.naver.com/mnews/article/213/0001225751?sid=106,"<b>김연아</b>가 결혼 발표 후 화보로 팬들과 만난다. <b>김연아</b>는 엑소 세훈과 패션 매거진 엘르 9월호 커버를 장식, 한 브랜드의 앰버서더로 서로 다른 공간과 콘셉트를 소화, 각자의 매력을 발산했다. 화보 촬영 후 인터뷰에서... ","Tue, 16 Aug 2022 10:39:00 +0900"
53,"김연아 ""서른 살 넘고 새로운 인생 시작돼""",https://news.jtbc.co.kr/article/article.aspx?news_id=NB12070937,https://n.news.naver.com/mnews/article/437/0000309971?sid=106,&apos;피겨 여왕&apos; <b>김연아</b>가 인생의 분기점에 관해 이야기했다. 16일 패션 매거진 엘르가 공개한 인터뷰에서 <b>김연아</b>는 인생에 분기점이 나누어져 있는 것 같냐는 질문에 <b>김연아</b>는 “한국 나이로 일곱 살 때부터 선수 생활을 했다.... ,"Tue, 16 Aug 2022 10:38:00 +0900"
54,‘고우림♥’ 김연아 “서른 살 넘고 새로운 인생 시작된 느낌”(화보),http://mksports.co.kr/view/2022/721695/,https://n.news.naver.com/mnews/article/410/0000888081?sid=106,전 피겨스케이팅선수 <b>김연아</b>의 화보가 공개됐다. <b>김연아</b>와 엑소 멤버 세훈은 패션 매거진 엘르 9월호 커버를 장식했다. 두 사람은 이번 화보에서도 서로 다른 공간과 콘셉트를 소화해냈다. 화보 촬영 후에는 인터뷰가... ,"Tue, 16 Aug 2022 10:36:00 +0900"
55,"김연아 ""새로운 인생 시작되는 느낌""(화보)",http://www.newsculture.press/news/articleView.html?idxno=510066,http://www.newsculture.press/news/articleView.html?idxno=510066,<b>김연아</b> 화보. 사진=엘르 <b>김연아</b>와 엑소 세훈이 패션 매거진 엘르 9월호 커버를 장식했다. 디올 앰배서더로 각자 매력을 선보이고 있는 두 사람은 이번 화보에서도 서로 다른 공간과 콘셉트를 소화해냈다. <b>김연아</b> 화보.... ,"Tue, 16 Aug 2022 10:34:00 +0900"
56,"'10월 결혼' 예비신부 김연아, 드레스 입은 화보 공개됐다 “고혹적 그 자체”",http://theviewers.co.kr/View.aspx?No=2500146,http://theviewers.co.kr/View.aspx?No=2500146,뷰어스 소윤서 기­자 오는 10월 고우림과 결혼을 앞둔 <b>김연아</b>의 새 근황이 공개됐다. 패션 매거진 ‘엘르’는 16일 <b>김연아</b>의 드레스 화보가 담긴 커버와 그의 인터뷰를 공개했다. 화보에서 <b>김연아</b>는 고혹적인 블랙... ,"Tue, 16 Aug 2022 10:30:00 +0900"
57,"'10월 결혼' 김연아, 더 아름다워졌네…""서른 넘고 새 인생 또 시작되는 느낌...",https://www.news1.kr/articles/4773737,https://n.news.naver.com/mnews/article/421/0006279366?sid=106,가수 고우림과 오는 10월 결혼을 앞둔 &apos;피겨 여왕&apos; <b>김연아</b>가 새로운 화보를 공개했다. 16일 공개된 패션 매거진 엘르 9월호 화보에서 한 명품 브랜드 앰배서더로 활약 중인 <b>김연아</b>는 고혹적인 매력을 발산했다. 화보 촬영과... ,"Tue, 16 Aug 2022 10:27:00 +0900"
58,결혼 앞둔 김연아 “새로운 인생 또 시작되는 느낌”,https://www.donga.com/news/article/all/20220816/114971681/2,https://n.news.naver.com/mnews/article/020/0003445624?sid=103,‘피겨여왕’ <b>김연아</b>가 결혼을 앞두고 드레스 자태를 공개했다. <b>김연아</b>는 최근 패션매거진 엘르와 화보 촬영을 진행했다. 사진 속 <b>김연아</b>는 고풍스러운 분위기의 촬영 콘셉트로 매혹적인 느낌을 자아냈다. <b>김연아</b>는 화보... ,"Tue, 16 Aug 2022 10:23:00 +0900"
59,"“분위기 미쳤다…” 10월 결혼❤︎ 김연아, 드레스 입은 근황 공개됐다",https://www.wikitree.co.kr/articles/780630,https://www.wikitree.co.kr/articles/780630,결혼을 앞두고 있는 <b>김연아</b>의 새로운 근황이 공개됐다. 엘르 코리아는 16일 공식 SNS에 <b>김연아</b>의 9월호 커버 사진을 공개했다. 공개된 사진에서 <b>김연아</b>는 디올 드레스를 입고 포즈를 취했다. <b>김연아</b>는 현재 디올의 공식... ,"Tue, 16 Aug 2022 10:20:00 +0900"
60,“‘우영우’ 박은빈 오스카·폭행·눈물”… 유튜브 가짜뉴스 이대로 괜찮나...,https://www.seoul.co.kr/news/newsView.php?id=20220816500026&wlog_tag3=naver,https://n.news.naver.com/mnews/article/081/0003294709?sid=103,"문제의 유튜브 채널에는 이 밖에도 ‘<b>김연아</b> 결혼식에 아사다 마오 축의금 5000만원’, ‘톰 크루즈, 한국인과 결혼·한국 귀화’, ‘중국 톱스타 판빙빙, 한국 망명’, ‘중국 싼샤댐 붕괴, 한국 교민 120만명 탈출’ 등... ","Tue, 16 Aug 2022 10:16:00 +0900"
61,"김연아♥고우림과 결혼발표 후 첫 화보·인터뷰 ""서른 넘고 새로운 인생 시작...",http://www.newsinside.kr/news/articleView.html?idxno=1140353,http://www.newsinside.kr/news/articleView.html?idxno=1140353,사진=엘르 피겨 퀸 <b>김연아</b>가 결혼 발표 후 처음으로 화보 및 인터뷰를 공개했다. 16일 패션 매거진 &apos;엘르&apos;는 <b>김연아</b>가 9월호 커버를 장식했다고 밝혔다. <b>김연아</b>는 디올 앰버서더로서 다양한 드레스들을 우아한 미모로... ,"Tue, 16 Aug 2022 10:10:00 +0900"
62,"결혼 앞둔 김연아 ""서른 넘고, 새로운 인생 시작되는 느낌""",https://ent.sbs.co.kr/news/article.do?article_id=E10010255973&plink=ORI&cooper=NAVER,https://n.news.naver.com/mnews/article/416/0000286526?sid=106,10월 결혼을 앞둔 &apos;피겨여왕&apos; <b>김연아</b>의 화보와 인터뷰가 공개됐다. 16일 패션 매거진 엘르는 9월호 커버를 장식한 <b>김연아</b>와 그룹 엑소 멤버 세훈의 화보 및 인터뷰를 공개했다. 두 사람은 모두 디올 앰배서더로 활동하고... ,"Tue, 16 Aug 2022 10:04:00 +0900"
